# t[s]	T[°C]	I[Ae-11]	dI[Ae-11]
0	-50	0.02	0.001
60	-48.5	0.04	0.001
120	-46.5	0.035	0.001
180	-44.4	0.043	0.001
240	-42.1	0.045	0.001
300	-39.7	0.05	0.001
360	-37.6	0.075	0.001
420	-35.6	0.11	0.005
480	-33.9	0.15	0.005
540	-32	0.17	0.005
600	-30.2	0.21	0.005
660	-28.5	0.27	0.005
720	-26.6	0.35	0.01
780	-24.8	0.42	0.01
840	-23	0.52	0.01
900	-21	0.66	0.01
960	-19	0.81	0.01
1020	-17	0.97	0.01
1080	-14.8	1.2	0.05
1140	-12.9	1.3	0.05
1200	-11	1.4	0.05
1260	-9.1	1.2	0.05
1320	-7.1	1	0.05
1380	-5.2	0.92	0.01
1440	-3.5	0.87	0.01
1500	-1.5	0.85	0.01
1560	0.4	1.1	0.05
1620	2.4	1	0.05
1680	4.4	1.2	0.05
1740	6.4	1.5	0.05
1800	8.4	1.7	0.05
1860	10.4	2	0.05
1920	12.2	2.3	0.05
1980	14.1	2.7	0.1
2040	16	3	0.1
2100	17.9	2.8	0.1
2160	19.9	2.9	0.1
2220	21.8	2.9	0.1
2280	23.8	3.2	0.1
2340	25.7	3.4	0.1
2400	27.8	3.6	0.1
2460	29.8	4	0.1
2520	31.9	4.6	0.1
2580	34	5.2	0.1
2640	36	5.3	0.1
2700	38.1	5.7	0.1
2760	39.8	5.9	0.1
2820	41.7	6.1	0.1
2880	43.6	6	0.1
2940	45.8	5.8	0.1
3000	47.8	5.6	0.1
3060	49.8	5.2	0.1
3120	51.8	4.6	0.1
3180	53.8	4	0.1
3240	55.5	3.4	0.1
3300	57.5	2.8	0.1
3360	59.5	2.2	0.05
3420	61.3	1.7	0.05
