#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	0.5	0.05	0.5	0.05	0.5	0.05
10	0.2	1.7	0.17	1.7	0.17	1.7	0.17
20	0.2	1.8	0.18	1.8	0.18	1.8	0.18
30	0.2	1.9	0.19	1.9	0.19	1.9	0.19
40	0.2	2	0.2	2	0.2	2	0.2
50	0.2	2.1	0.21	2.1	0.21	2.1	0.21
60	0.2	2.1	0.21	2.2	0.22	2.2	0.22
70	0.2	2.2	0.22	2.3	0.23	2.3	0.23
80	0.2	2.3	0.23	2.4	0.24	2.4	0.24
90	0.2	2.4	0.24	2.5	0.25	2.5	0.25
100	0.2	2.5	0.25	2.6	0.26	2.6	0.26
110	0.2	2.6	0.26	2.7	0.27	2.7	0.27
120	0.2	2.7	0.27	2.8	0.28	2.8	0.28
130	0.2	2.8	0.28	2.9	0.29	2.9	0.29
140	0.2	2.9	0.29	3	0.3	2.9	0.29
150	0.2	2.9	0.29	3	0.3	3	0.3
160	0.2	3	0.3	3.1	0.31	3.1	0.31
170	0.2	3.1	0.31	3.2	0.32	3.2	0.32
180	0.2	3.2	0.32	3.3	0.33	3.3	0.33
190	0.2	3.2	0.32	3.4	0.34	3.4	0.34
200	0.2	3.3	0.33	3.5	0.35	3.5	0.35
