#t[s]	dt[s]	p1[mbar]	p2[mbar]	p3[mbar]	dp[mbar]
0	0	10	10	10	0.05
10	0.2	19.3	20	19.8	0.05
20	0.2	23.2	23.9	23.8	0.05
30	0.2	27.1	27.7	27.6	0.05
40	0.2	30.9	31.6	31.5	0.05
50	0.2	35.1	35.4	35.3	0.05
60	0.2	38.9	39.4	39.2	0.05
70	0.2	42.9	43.1	43	0.05
80	0.2	46.6	47.1	46.9	0.05
90	0.2	50.1	50.8	50.6	0.05
100	0.2	54.3	54.7	54.6	0.05
110	0.2	58.2	58.5	58.3	0.05
120	0.2	61.7	62.4	62.2	0.05
130	0.2	65.8	66.2	66.1	0.05
140	0.2	69.7	70.1	70	0.05
150	0.2	73.5	74	73.8	0.05
160	0.2	77.4	77.7	77.6	0.05
170	0.2	81.2	81.6	81.5	0.05
180	0.2	84.7	85.5	85.7	0.05
190	0.2	88.9	89	89.1	0.05
200	0.2	92.7	93.1	92.9	0.05
