#t[s]	dt[s]	p1[mbar]	dp1[mbar]	p2[mbar]	dp2[mbar]	p3[mbar]	dp3[mbar]
0	0	5.00E-05	1.50E-05	5.00E-05	1.50E-05	5.00E-05	1.50E-05
10	0.2	1.25E-04	3.75E-05	1.33E-04	3.99E-05	1.29E-04	3.87E-05
20	0.2	1.97E-04	5.91E-05	2.00E-04	6.00E-05	1.98E-04	5.94E-05
30	0.2	2.64E-04	7.92E-05	2.67E-04	8.01E-05	2.66E-04	7.98E-05
40	0.2	3.31E-04	9.93E-05	3.36E-04	1.01E-04	3.31E-04	9.93E-05
50	0.2	3.95E-04	1.19E-04	3.98E-04	1.19E-04	3.98E-04	1.19E-04
60	0.2	4.53E-04	1.36E-04	4.56E-04	1.37E-04	4.51E-04	1.35E-04
70	0.2	5.07E-04	1.52E-04	5.11E-04	1.53E-04	5.05E-04	1.52E-04
80	0.2	5.64E-04	1.69E-04	5.67E-04	1.70E-04	5.66E-04	1.70E-04
90	0.2	6.21E-04	1.86E-04	6.22E-04	1.87E-04	6.15E-04	1.85E-04
100	0.2	6.72E-04	2.02E-04	6.75E-04	2.03E-04	6.72E-04	2.02E-04
110	0.2	7.28E-04	2.18E-04	7.28E-04	2.18E-04	7.25E-04	2.18E-04
120	0.2	7.87E-04	2.36E-04	7.92E-04	2.38E-04	7.88E-04	2.36E-04
